Station Name: PHOENIX PARK,,,,,,,,
Station Height: 48 M ,,,,,,,,
Latitude:53.364  ,,,,,,,,
,,,,,,,,
,,,,,,,,
date:  -  00 to 00 utc,,,,,,,,
rain:  -  Precipitation Amount (mm),,,,,,,,
"maxtp: -  Maximum Air Temperature (C)	  ",,,,,,,,
mintp: -  Minimum  Air Temperature (C),,,,,,,,
gmin:  -  09utc Grass Minimum Temperature (C),,,,,,,,
soil:  -  Mean 10cm soil temperature (C),,,,,,,,
cbl:   -  Mean CBL Pressure (hpa),,,,,,,,
ind:   -  Indicator (i),,,,,,,,
,,,,,,,,
date,maxtp,mintp,igmin,gmin,rain,cbl,soil,Good weather
30-Mar-06,14.4,8,0,6.1,1.9,981.1,9.528,
31-Mar-06,14.7,5.6,0,0.9,6.6,989.4,9.782,
01-Jan-07,5.8,3.1,0,0.9,0.7,1005.2,4.762,
02-Jan-07,10,4.4,0,-0.2,0.6,1017.3,4.19,
03-Jan-07,12.6,7.9,0,3.5,2.3,1005.7,7.019,
04-Jan-07,9.6,7.7,0,5.6,0,1004.3,6.865,
05-Jan-07,10.4,5.6,0,6.1,0.3,1006.2,6.553,
06-Jan-07,10.1,5.7,0,0.2,0.6,1002.5,5.484,
07-Jan-07,11.1,4.6,0,0.4,1.5,990.3,6.745,
08-Jan-07,12.9,4.2,0,-0.5,2.3,985.7,6.382,
09-Jan-07,12.6,6.6,0,5.1,4.8,986.4,8.177,
10-Jan-07,8.1,3.3,0,0.6,11.9,1000.8,5.767,
11-Jan-07,11.4,6.4,0,-0.4,8.2,1000.3,6.489,
12-Jan-07,13,7.2,0,2.7,0.2,1008.1,7.183,
13-Jan-07,12.2,3.8,0,6.8,2.5,1003.9,7.565,
14-Jan-07,8.9,3.6,0,0.6,0,1015.6,5.009,
15-Jan-07,11.8,5.8,0,2.1,1.2,1007.3,6.298,
16-Jan-07,8.8,-0.3,0,-4.4,1.1,1000.2,5.32,
17-Jan-07,9.6,3.5,0,-3.7,1.4,989.8,5.072,
18-Jan-07,12.2,4.5,0,1.2,12.4,981.8,5.898,
19-Jan-07,13.9,6.7,0,3.6,0.6,999.9,6.236,
20-Jan-07,9.6,2.4,0,1.5,10.8,997.1,5.944,
21-Jan-07,6.5,2.4,0,-0.4,0.5,1003.9,4.449,
22-Jan-07,6.1,-0.6,0,-3.1,4.4,1018,3.416,
23-Jan-07,4.2,-1.2,0,-6.5,0.4,1019.4,2.373,
24-Jan-07,6.8,1.5,0,-1.5,0,1015.7,3.164,
25-Jan-07,5.8,0.4,0,-4.3,0.2,1023.6,2.654,
26-Jan-07,7.6,1.8,0,-5,0,1024.5,3.611,
27-Jan-07,6.5,4.4,0,1.9,0.1,1029.1,5.04,
28-Jan-07,9.1,5,0,3.2,1.2,1027.1,5.58,
29-Jan-07,8,5.2,0,1.9,0.2,1025.1,5.947,
30-Jan-07,8.4,4.4,0,3.7,0,1020.2,5.94,
31-Jan-07,11.3,6.9,0,3.8,0.1,1017.8,6.502,
01-Feb-07,10.1,5.8,0,7.8,0,1023,7.677,
02-Feb-07,10.4,-0.1,0,-2.1,0,1029.6,5.879,
03-Feb-07,10.6,-1.8,0,-5.9,0,1033.1,3.546,
04-Feb-07,5.6,-3.2,0,-7.1,0,1025.9,2.829,
05-Feb-07,7.1,-1.9,0,-4.8,0,1015.3,3.177,
06-Feb-07,4.9,-4.3,0,-9.1,0,1004.3,2.178,
07-Feb-07,5.4,-5.1,0,-9.2,1.7,990.2,1.614,
08-Feb-07,3,0.2,0,-7.2,14.4,983.2,2.239,
09-Feb-07,8.2,-1.6,0,-5.6,0,991.9,2.46,
10-Feb-07,6.8,3.5,0,-1.6,3.1,983,3.741,
11-Feb-07,9.8,2.5,0,-2.7,4.9,978.2,4.747,
12-Feb-07,9.6,5.2,0,-1.4,3,983,5.797,
13-Feb-07,8.5,2.9,0,-2,0.2,994.1,5.13,
14-Feb-07,9.9,2.1,0,-3.9,0.2,996.5,4.245,
15-Feb-07,12.7,8,0,-0.8,2.1,995.2,6.486,
16-Feb-07,11.5,3.4,0,3.8,0,1000.2,6.4,
17-Feb-07,9.8,-0.5,0,-1.8,0,1009.1,5.819,
18-Feb-07,9,-2.3,0,-6.2,0,1009,4.424,
19-Feb-07,11.1,7.2,0,-2.1,1,995.3,6.295,
20-Feb-07,11.9,3.1,0,-1.9,8.3,993.9,6.304,
21-Feb-07,11.1,3.2,0,-0.5,0.7,992.3,6.238,
22-Feb-07,12.7,7.1,0,5.9,1.6,986.4,7.815,
23-Feb-07,11.6,6.9,0,3.6,0.9,983.2,7.565,
24-Feb-07,10.6,5.4,0,2.9,1.7,984,7.815,
25-Feb-07,11,6,0,1.4,0.8,995.4,7.74,
26-Feb-07,10.6,4.1,0,-0.8,4,1008.8,7.325,
27-Feb-07,14.9,8.3,0,6.4,6.4,993.8,9.042,
28-Feb-07,9.4,3.6,0,4.8,6.2,978.3,7.918,
01-Mar-07,10.1,2.8,0,0.3,0.1,990.4,6.161,
02-Mar-07,8.2,-0.8,0,-5,7.3,993.1,4.962,
03-Mar-07,11.3,1.7,0,0,0.5,997.7,5.878,
04-Mar-07,11.2,1.4,0,-2.7,6,992.7,6.016,
05-Mar-07,11.2,3.7,0,1.1,4.5,982.9,5.81,
06-Mar-07,11.6,4.6,0,0.6,2.8,980.6,7.261,
07-Mar-07,10.8,2.8,0,-2.9,2.1,998.9,6.483,
08-Mar-07,10.8,2.1,0,-3,1.1,1011,6.59,
09-Mar-07,11.2,4.1,0,-0.3,0.1,1020.2,6.659,
10-Mar-07,15,6.8,0,0.9,0,1022.8,7.839,
11-Mar-07,11.6,5.3,0,6.5,7.1,1014.3,8.273,
12-Mar-07,12.6,3.4,0,-0.7,2.3,1014.2,8.221,
13-Mar-07,11.9,4,0,-1.4,0.7,1024.1,7.682,
14-Mar-07,14.4,2.5,0,-2.4,0,1026.1,7.868,
15-Mar-07,11.2,0.7,0,5,0.3,1021.3,8.347,
16-Mar-07,9.5,-0.4,0,-4.4,0.1,1020.6,6.431,
17-Mar-07,11.3,8.7,0,7,0.9,1008.8,8.645,
18-Mar-07,9.4,0.6,0,0.9,4.2,996,7.674,
19-Mar-07,7.5,0.2,0,-2.1,0.7,1001.7,6.194,
20-Mar-07,7.2,-0.6,0,-4.7,0,1016.6,5.434,
21-Mar-07,7.2,-2.4,0,-6,2.1,1015.6,5.397,
22-Mar-07,11.4,6.6,0,4.3,0.4,1014.8,7.903,
23-Mar-07,9,0.8,0,-3.2,0,1016.7,7.649,
24-Mar-07,10.8,0.5,0,-1.9,0,1017.9,7.917,
25-Mar-07,10.2,-0.4,0,-4.3,0,1017.7,7.436,
26-Mar-07,11.6,1.9,0,-2.2,0,1015.5,7.549,
27-Mar-07,13.8,0.2,0,-3.2,0,1012.1,7.863,
28-Mar-07,10.4,2,0,-0.6,0.1,1012.3,8.01,
29-Mar-07,9.2,0.6,0,-4,1.9,1010.4,7.155,
30-Mar-07,9.4,5.6,0,4.9,0,1014.7,7.472,
31-Mar-07,10.7,6.4,0,4.1,0,1024.1,8.165,
01-Apr-07,10.6,3.6,0,0.2,0,1028.6,8.688,
02-Apr-07,13.7,4.3,0,-1,0,1027.2,8.742,
03-Apr-07,10.3,3.4,0,0.8,0,1024.9,8.788,
04-Apr-07,17.1,0.2,0,-3.5,0,1022.4,9.333,
05-Apr-07,17.5,1.9,0,-2.7,0,1019.8,10.561,
06-Apr-07,13,4.3,0,-0.6,0,1021.2,11.312,
07-Apr-07,14.7,2.3,0,-1.8,0,1023,11.44,
08-Apr-07,15.5,6.3,0,0.3,0,1019.5,11.67,
09-Apr-07,15.6,6.4,0,1.3,0,1016,11.535,
